stl,fl,age,sex,year,source,species
110.0,88.0,,m,2009,nan,sss
122.0,98.0,,f,2009,nan,sss
107.5,83.0,,m,2009,nan,sss
101.0,78.5,,f,2009,nan,sss
99.5,77.5,,m,2009,nan,sss
97.4,77.5,,m,2009,nan,sss
115.7,91.6,7.5,f,2009,nan,sss
104.0,85.0,,f,2008,nan,sss
131.0,103.8,,f,2009,nan,sss
88.0,72.0,,f,2008,nan,sss
96.5,83.0,,f,2009,nan,sss
107.0,84.0,,f,2009,nan,sss
104.0,83.2,,f,2009,nan,sss
111.9,87.3,,f,2009,nan,sss
110.0,86.0,,m,2009,nan,sss
109.1,87.6,5.417,f,2009,nan,sss
124.0,99.0,,f,2009,nan,sss
103.0,80.7,,f,2009,nan,sss
106.2,82.0,,m,2009,nan,sss
63.4,48.0,0.5,f,2009,nan,sss
102.5,79.0,,m,2011,nan,sss
122.4,99.0,12.0,f,2008,nan,sss
109.0,85.0,5.5,m,2009,nan,sss
126.0,99.5,9.0,f,2008,nan,sss
120.1,93.1,,f,2008,nan,sss
99.1,78.0,,m,2009,nan,sss
104.0,81.5,,f,2009,nan,sss
104.9,90.0,4.583,f,2009,nan,sss
102.0,82.0,,m,2009,nan,sss
106.0,84.0,,f,2008,nan,sss
91.0,73.0,,m,2008,nan,sss
113.0,94.0,,f,2009,nan,sss
105.0,,,m,2009,nan,sss
105.4,82.2,4.583,f,2009,nan,sss
119.0,95.0,,f,2009,nan,sss
102.0,84.0,,m,2008,nan,sss
106.0,87.0,,f,2009,nan,sss
103.9,89.9,4.583,f,2009,nan,sss
98.0,83.0,,f,2009,nan,sss
111.0,88.0,,f,2009,nan,sss
96.0,77.0,,m,2008,nan,sss
99.0,78.0,,m,2008,nan,sss
113.3,90.5,,f,2009,nan,sss
120.3,96.6,,f,2009,nan,sss
120.5,96.8,,f,2009,nan,sss
97.6,76.7,,f,2009,nan,sss
112.8,90.0,,m,2009,nan,sss
95.6,74.8,2.083,f,2008,nan,sss
112.8,90.0,,f,2009,nan,sss
92.0,70.5,2.083,f,2008,nan,sss
104.8,83.0,,m,2009,nan,sss
120.0,98.0,,f,2009,nan,sss
98.0,81.5,,m,2009,nan,sss
97.6,76.0,,f,2009,nan,sss
107.0,86.0,,f,2008,nan,sss
104.5,82.0,,m,2009,nan,sss
106.7,86.0,,f,2009,nan,sss
97.0,77.6,,m,2009,nan,sss
124.0,98.0,,f,2009,nan,sss
112.0,90.0,,f,2009,nan,sss
118.0,96.0,,f,2009,nan,sss
74.5,57.0,,m,2008,nan,sss
107.0,87.0,,f,2009,nan,sss
91.0,69.5,2.083,f,2008,nan,sss
125.0,100.0,,f,2009,nan,sss
110.0,90.0,,f,2009,nan,sss
110.0,91.0,,m,2009,nan,sss
97.2,77.0,3.083,m,2008,nan,sss
101.0,86.0,,m,2008,nan,sss
125.0,104.0,,f,2009,nan,sss
102.0,84.0,,m,2008,nan,sss
106.0,80.0,,f,2009,nan,sss
106.0,81.0,,f,2009,nan,sss
118.0,100.0,,f,2009,nan,sss
109.3,85.0,3.417,f,2009,nan,sss
96.5,76.4,,m,2009,nan,sss
96.2,76.0,,m,2009,nan,sss
99.9,79.0,,m,2009,nan,sss
104.2,83.0,6.833,m,2009,nan,sss
102.8,81.8,4.833,m,2009,nan,sss
104.0,82.0,,m,2009,nan,sss
113.6,90.6,,f,2009,nan,sss
103.0,80.5,,m,2009,nan,sss
105.4,81.4,,m,2009,nan,sss
103.2,81.0,,m,2009,nan,sss
104.0,80.5,,f,2009,nan,sss
104.9,82.4,,m,2009,nan,sss
106.5,88.0,,m,2009,nan,sss
121.0,98.0,,f,2009,nan,sss
91.3,70.5,2.417,m,2009,nan,sss
105.5,87.0,,m,2009,nan,sss
107.7,85.7,,m,2009,nan,sss
98.0,76.7,,m,2009,nan,sss
106.0,87.0,,m,2009,nan,sss
103.0,82.0,,m,2009,nan,sss
100.0,83.5,,m,2009,nan,sss
103.0,87.0,,m,2009,nan,sss
98.3,78.5,,m,2009,nan,sss
102.7,84.0,,m,2009,nan,sss
93.8,73.7,,m,2009,nan,sss
98.0,77.0,,m,2009,nan,sss
87.8,68.0,,m,2009,nan,sss
105.7,81.6,,f,2009,nan,sss
99.6,77.8,,m,2009,nan,sss
97.2,76.3,,m,2009,nan,sss
103.4,81.7,,m,2009,nan,sss
99.9,77.0,,m,2009,nan,sss
112.2,,,f,2010,nan,sss
127.1,102.8,,f,2009,nan,sss
128.3,101.2,,f,2009,nan,sss
94.5,,1.417,nan,2009,nan,sss
106.5,82.6,,m,2009,nan,sss
120.0,98.0,,f,2009,nan,sss
76.0,59.0,,f,2009,nan,sss
81.0,68.0,,f,2009,nan,sss
92.1,71.7,1.917,f,2009,nan,sss
113.7,89.0,,f,2009,nan,sss
90.0,70.0,,f,2009,nan,sss
84.6,65.5,1.417,f,2009,nan,sss
118.0,90.0,,f,2009,nan,sss
88.3,,,m,2010,nan,sss
105.0,85.0,,m,2009,nan,sss
104.0,84.0,,m,2009,nan,sss
95.0,76.0,,m,2009,nan,sss
110.0,87.5,,f,2009,nan,sss
106.0,85.0,,m,2009,nan,sss
103.0,80.5,,m,2009,nan,sss
92.5,72.0,,m,2009,nan,sss
108.5,95.0,,f,2009,nan,sss
123.0,99.0,,f,2009,nan,sss
111.0,86.5,4.0,f,2008,nan,sss
106.9,,4.417,f,2009,nan,sss
84.5,,1.417,f,2009,nan,sss
122.0,,5.417,f,2009,nan,sss
91.2,,2.417,f,2009,nan,sss
121.3,,,f,2010,nan,sss
64.9,49.6,0.75,m,2010,nan,sss
108.6,86.0,4.917,f,2009,nan,sss
82.4,63.2,,m,2009,nan,sss
101.0,83.4,,m,2009,nan,sss
106.0,84.0,3.917,f,2009,nan,sss
97.5,76.4,2.917,m,2009,nan,sss
70.7,53.4,0.75,f,2010,nan,sss
87.3,,,m,2010,nan,sss
92.8,,,m,2010,nan,sss
99.7,77.4,,m,2009,nan,sss
123.0,103.0,,f,2009,nan,sss
109.0,88.0,,f,2009,nan,sss
105.0,81.5,,f,2009,nan,sss
105.5,84.0,,m,2009,nan,sss
115.5,91.9,,f,2010,nan,sss
109.8,86.6,,f,2009,nan,sss
107.0,83.0,,f,2009,nan,sss
94.0,74.0,,m,2009,nan,sss
106.5,82.0,,f,2009,nan,sss
130.0,107.0,,f,2009,nan,sss
104.1,82.5,,m,2009,nan,sss
113.2,89.8,,f,2009,nan,sss
126.4,101.0,,f,2010,nan,sss
95.5,82.0,,m,2009,nan,sss
101.5,79.0,,f,2009,nan,sss
104.5,83.5,,f,2009,nan,sss
114.5,,,f,2009,nan,sss
101.4,80.0,,m,2009,nan,sss
108.5,86.0,,m,2009,nan,sss
120.0,96.0,,f,2009,nan,sss
97.0,76.2,,m,2009,nan,sss
124.0,103.0,,f,2009,nan,sss
103.9,81.2,,f,2009,nan,sss
99.1,76.8,,m,2009,nan,sss
106.4,85.0,,f,2010,nan,sss
105.5,82.0,,m,2009,nan,sss
83.0,65.0,1.417,m,2009,nan,sss
