Source,Species,Date,Month,Year,Tag,FL,STL,PCL,Wgt,Sex,Umb.Scar,Clasp.length,Clasp.calc,MOD,Yolky.ova,Uter.stage,Emb,EmbTL,Embryo,Sex.Ratio.M.F,PCL.Vert,Lat,Long,LatDeg,LatMin,LonDeg,LonMin,Depth,Depth 1,Depth 2,Reader1,Reader2,AgeAgree,Decision,Readability,Edge Analysis,MIR,MIR Note
NSW1,BTP,14/06/2009,6,2009,DW130609-3,169,206,154,,M,,130,y,,,,,,FALSE,,,,,28,34,153,43,64.9,64,65.8,10,12,10,Pascal,4,m,0.58687141,0
NSW1,BTP,15/04/2010,4,2010,DW150410-1,152,188,138,,F,,,,,,A,,,FALSE,,,,,31,3,153,9,,,,6,7,6,Pascal,4,m,0.58687141,0
NSW1,BTP,15/04/2010,4,2010,DW150410-17,139,170,126,,M,,65,n,,,,,,FALSE,,,,,31,3,153,9,,,,5,6,5,Pascal,4,m,0.58687141,0
NSW1,BTP,15/05/2009,5,2009,DW150509-11,181,211,164,,M,,132,y,,,,,,FALSE,,,,,29,40,153,25,52.15,49.4,54.9,18,17,18,Pascal,4,m,0.58687141,0
NSW1,BTP,15/05/2009,5,2009,DW150509-26,147,176,133,,M,,81,n,,,,,,FALSE,,,,,29,53,153,20,36.6,31.1,42.1,6,6,6,Agree,4,w,0.639375325,0
NSW1,BTP,16/04/2010,4,2010,DW160410-1,188,228,171,,F,,,,,,F,,,FALSE,,,,,30,10,153,28,,,,12,13,12,Agree,4,w,0.639375325,0
NSW1,BTP,21/04/2010,4,2010,DW210410-1,169,202,154,,F,,,,,,E,2,320,FALSE,1M and 1 undeveloped egg,,,,29,27,153,27,49.3,49.3,,11,11,11,Agree,4,w,0.639375325,0
NSW1,BTP,21/04/2010,4,2010,DW210410-10,197,240,180,,M,,150,y,,,,,,FALSE,,,,,29,27,153,27,49.3,49.3,,20,19,19,Agree,4,w,0.639375325,0
NSW1,BTP,21/04/2010,4,2010,DW210410-12,205,246,184,,F,,,,,,E,8,481,FALSE,2M 6F,,,,29,27,153,27,49.3,49.3,,20,24,20,Agree,4,w,0.639375325,0
NSW1,BTP,21/04/2010,4,2010,DW210410-4,190,228,172,,F,,,,,,E,7,427,FALSE,2M 5F,,,,29,27,153,27,49.3,49.3,,14,17,14,Agree,4,w,0.639375325,0
